A,B,Segment,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler
you little stupid ass bitch i ai fuckin with you,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,0,0,0,0,30,20,0,0,0,0,0,0,20,0,0,0,0,10,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i ai gone lie amp old heads say they see it in me so i figured nah you just retarded,1,1,0,0,0,0,5,0,5,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,20,10,0,0,0,0,5,10,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,5,5,5,0,0,5,10,0,0,5,5,0,0,0
lmao amp aero sound young af talking bout hoes n weed n shit brah you gotta listen to this shit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,25,15,5,0,0,0,0,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,5,0,0,0,10,0,5,0,0,5,15,15,0,0,0
niggas over with long ass monkey arms make the best cuddle buddiesso i heard ahaha a female told me this once,1,1,9.52,4.76,4.76,0,4.76,0,4.76,0,4.76,0,0,0,0,0,14.29,4.76,0,0,0,0,0,0,0,9.52,14.29,9.52,0,0,0,0,4.76,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,9.52,0,4.76,0,4.76,9.52,0,0,0,0,0,0,0
sometimes i hate az amp sometimes i love it depends on the time of year i guess amp the dumb bitches that live here,1,1,0,0,0,0,16.67,0,16.67,4.17,4.17,0,16.67,0,0,0,16.67,4.17,8.33,8.33,4.17,4.17,0,4.17,0,4.17,8.33,8.33,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,8.33,0,0,8.33,0,0,0,8.33,0,4.17,0,0,0,0,0,0
dudes shaving without it being for an athletic purpose is gay af youre retarded,0,1,0,0,0,0,14.29,0,14.29,0,7.14,0,0,0,7.14,0,14.29,0,7.14,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,14.29,0,7.14,0,7.14,0,0,0,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,14.29,0,0,0
or hes eating it cuz hes with a women who just ca cook then u gotta get rid of that hoe,1,1,0,0,0,0,9.52,0,9.52,0,4.76,0,4.76,0,4.76,0,9.52,0,4.76,0,0,0,0,0,0,4.76,28.57,0,0,0,0,0,0,28.57,0,0,9.52,9.52,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,9.52,0,4.76,0,4.76,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,4.76,0,9.52,4.76,14.29,14.29,0,0,0
im going to miss these bitches so much far right she resting on ol girl booty yall funny as shit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,5,5,0,0,0,0,15,20,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,5,0,0,0,0,0,5,10,0,0,0,0,0
you was with the bitch with the fat ass only way to live when u young that shit gonna get old tho and have a lot of des in it,1,1,0,0,0,0,3.33,0,3.33,0,0,0,0,0,3.33,0,10,0,0,0,0,0,0,0,0,10,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.33,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,10,10,0,0,10,0,0,0,10,3.33,0,3.33,10,10,0,0,0
marcus bitch ass ai loyal at all team hopping ass,1,1,20,20,0,0,10,10,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,30,20,20,20,0,0,10,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
hoe fax type yo bitch number in google to see if it pops up on back page thank,1,1,0,0,0,0,5.56,0,5.56,0,0,0,5.56,0,5.56,0,16.67,5.56,0,0,0,0,0,0,0,11.11,16.67,11.11,5.56,5.56,0,0,11.11,5.56,0,0,5.56,0,11.11,0,0,11.11,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,22.22,0,0,16.67,5.56,0,0,0,0,0,0,5.56,5.56,0,0,0
i was told never fold amp never sell my solethey should have told yu stay in school soul autocorrect hoed me,1,1,0,0,0,0,14.29,9.52,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,9.52,0,0,0,0,9.52,4.76,0,0,0,0,0,0,0,0,14.29,0,0,4.76,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,9.52,0,0,9.52,0,0,0,9.52,14.29,0,0,0,0,0,0,0
bitch u tried it u deserved every foul word that came out chris mouth bye hoe,1,1,6.25,0,6.25,0,12.5,6.25,6.25,0,0,6.25,0,0,0,0,18.75,0,6.25,0,0,0,0,0,0,12.5,37.5,18.75,0,0,0,12.5,6.25,18.75,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,0,6.25,6.25,0,0,0,0,12.5,0,0,12.5,12.5,0,0,0
one last shot at this love shit then im dogging you hoes drakelistener,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,7.69,7.69,0,0,0,0,15.38,23.08,7.69,0,0,0,0,0,15.38,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,15.38,0,7.69,0,0,0,0,0,0
negro you wear a size im in a im at a now still growing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,7.14,0,21.43,0,0,0,0,0,0
whats good familyin the gym looking at hoes hit u later,1,1,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,9.09,9.09,9.09,0,0,0,0,9.09,27.27,0,0,0,0,0,0,27.27,9.09,0,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,9.09,0,0,9.09,0,9.09,0,9.09,9.09,0,0,0
when you open your starburst candy and get yellows lmao bruh,2,1,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,9.09,27.27,0,0,0,0,0,0,27.27,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,18.18,9.09,0,0,9.09,0,0,0,9.09,0,0,0,18.18,18.18,0,0,0
bihday weekend stas today shut yo hoe ass up,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,22.22,0,0,22.22,0,0,0,11.11,0,0,0,11.11,11.11,0,0,0
bitch niggas pay for hoes just to lay with hoes relax one night youll pay to stay with hoes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.58,5.26,0,5.26,5.26,0,0,0,0,26.32,21.05,0,0,0,0,0,0,21.05,0,0,15.79,0,0,0,0,0,15.79,5.26,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,10.53,0,5.26,10.53,0,0,0,5.26,0,0,5.26,0,0,0,0,0
if your wardrobe consist of mostly leggings yous a hoe guilty,1,1,0,0,0,0,18.18,0,18.18,0,0,0,18.18,0,9.09,0,18.18,0,9.09,9.09,0,9.09,0,0,0,9.09,18.18,0,0,0,0,0,0,18.18,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in the mall with yo bitch and yo money im getting me somethin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,7.69,0,0,7.69,0,0,0,0,0,7.69,0,15.38,15.38,0,0,0
eat a lot of protein eat a lot of pussy mattietrumpstipsforabetterlife eat the whole ass,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,6.67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
when you live this gay you ca be afraid of two black dicks in your butt you fucking queer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,5.26,5.26,0,5.26,5.26,0,0,10.53,21.05,0,0,0,0,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.32,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,5.26,15.79,0,0,10.53,5.26,0,0,5.26,0,0,0,0,0,0,0,0
a lot of you males need to dress up as real men for halloween since yall be acting like bitches all year,1,1,0,0,0,0,18.18,4.55,13.64,0,4.55,4.55,0,4.55,0,0,4.55,0,0,0,0,0,0,0,0,4.55,18.18,0,0,0,0,0,0,18.18,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,18.18,4.55,0,0,4.55,0,0,0,4.55,0,0,0,0,0,0,0,0
you wa to be a little bitch than ima treat you like a little bitch,1,1,0,0,0,0,6.67,0,6.67,0,0,0,0,0,6.67,0,13.33,0,0,0,0,0,0,0,0,13.33,13.33,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,6.67,6.67,6.67,0,0,0
water polo is so fucking hard respect yeah if youre a pussy,1,1,8.33,0,0,8.33,8.33,0,8.33,0,0,0,8.33,0,8.33,0,25,8.33,0,0,0,0,0,0,0,16.67,16.67,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,8.33,0,0,16.67,0,8.33,0,8.33,0,0
edward did oss he sparkled bitch reality,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0
who the old bitch hoe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
i love the song john doe dope faggots,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,12.5,12.5,0,0,0,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,12.5,12.5,0,0,0
i hate when bitches do that who are you talking to shit like clearly youi be like bitch wit da red door hoe,1,1,0,0,0,0,4.35,0,4.35,0,0,0,0,4.35,0,0,21.74,0,4.35,4.35,0,4.35,0,4.35,0,17.39,17.39,4.35,0,0,0,0,4.35,13.04,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,8.7,0,0,4.35,4.35,0,0,4.35,0,4.35,0,0,0,0,0,0
just got done with my last final and im walkin around campus like i own this place queer,0,1,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,5.56,0,0,0,0,0,5.56,0,0,0,0,5.56,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,11.11,5.56,5.56,0,0,0,0,0,0
well im going to sleep fag,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,33.33,0,0,0,0,0
mmmh daily is out stories via yellow is in amp luv the bling,2,1,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,7.69,7.69,0,0,0,0,0,15.38,15.38,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,23.08,0,0,15.38,7.69,0,0,7.69,0,15.38,0,15.38,7.69,0,7.69,0
they not evn hoes in silence anymoreproud of it then wa respect,1,1,8.33,0,0,8.33,8.33,0,8.33,0,0,0,0,0,8.33,0,16.67,8.33,0,0,0,0,0,0,0,8.33,25,8.33,8.33,0,0,0,0,16.67,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0
when you fuck her good she trip even more good dick makes a bitch go crazy,1,1,0,0,0,0,6.25,0,6.25,0,6.25,0,0,0,0,0,37.5,12.5,0,18.75,12.5,0,0,0,0,18.75,18.75,0,0,0,0,0,0,18.75,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,0,6.25,6.25,0,0,0,6.25,0,6.25,0,0,0,0,0,0
so many hoes thats whypreach,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
if a photographer does have a back story on how he staed he did it for pussy believethat caknockthahussle,1,1,0,0,0,0,15.79,0,15.79,10.53,5.26,0,5.26,0,5.26,0,5.26,0,0,0,0,0,0,0,0,5.26,15.79,5.26,0,0,0,0,5.26,10.53,0,0,0,10.53,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,0,0,5.26,0,0,0,0,5.26,5.26,0,0,0,0,0,0
ive sounded like a fag the last few days your emotions are inspiring,1,1,0,0,0,0,7.69,0,7.69,7.69,0,0,0,0,0,0,23.08,7.69,0,15.38,7.69,0,0,0,0,7.69,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,7.69,0,0,0,0,7.69,0,15.38,15.38,7.69,0,0,0,0,0,0
imaddictedto girls w fat pussy slim waist fat ass n innoce smiles truuuuuu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,7.69,7.69,0,0,0,0,15.38,15.38,7.69,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,46.15,15.38,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
you can be seminoles but not redskins kseminole tribe got an agreeme with themfsu pay them to use the name,1,1,5,5,0,0,20,0,20,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
who that pussy wet for,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
you dammn weed potheads are annoying af on twitter weed and pot are the same thing faggot,0,1,0,0,0,0,5.88,0,5.88,0,0,0,0,0,5.88,0,17.65,0,5.88,5.88,0,5.88,0,5.88,0,11.76,11.76,5.88,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,5.88,5.88,0,0,0
im dreaming ewwwwbitch you must be fucked up,1,1,0,0,0,0,25,0,25,0,0,25,0,25,0,0,25,0,25,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,12.5,12.5,0,12.5,12.5,0,0,12.5
lmao my bitch was listening to gospel music w liquor in her hand weaaakkklmfaooooooooo i was crying,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,5.88,5.88,5.88,0,5.88,0,0,5.88,11.76,11.76,5.88,0,0,0,0,5.88,5.88,0,0,5.88,0,0,0,0,0,11.76,5.88,0,0,0,5.88,11.76,0,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,17.65,0,0,5.88,0,11.76,0,0,11.76,0,0,5.88,5.88,0,0,0
why amanda bitch ass eva cheat on fizz fine ass ion geddit theres more to a nigga than his looks thought yall knew dat,1,1,0,0,0,0,16.67,0,16.67,8.33,4.17,0,0,0,4.17,0,25,4.17,4.17,0,0,0,0,0,0,16.67,12.5,4.17,0,0,4.17,4.17,0,8.33,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,4.17,4.17,0,0,0,4.17,8.33,0,4.17,4.17,0,0,0
amp you should feel disrespected if a bitch try to suck you up with dry lips,1,1,12.5,0,6.25,6.25,25,0,25,6.25,0,12.5,6.25,0,6.25,0,12.5,0,6.25,0,0,0,0,0,0,6.25,18.75,6.25,0,0,6.25,6.25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,18.75,0,0,6.25,0,0,12.5,0,0,6.25,0,0,0,0,0,0
yall bitches switch a roo niggas who the hell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,22.22,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yall hype that bread loaf chick up but im a chill a dyke rapper,0,1,0,0,0,0,7.14,0,7.14,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,7.14,14.29,0,0,0,0,0,0,14.29,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0
cowboys win games during the regular season but when they get to the playoffs that trash af lol hating ass nigga,0,1,4.76,0,4.76,0,4.76,0,4.76,0,0,0,0,0,4.76,0,23.81,4.76,4.76,4.76,0,4.76,0,4.76,0,14.29,9.52,0,0,0,0,0,0,9.52,0,0,0,4.76,0,0,0,0,4.76,4.76,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,14.29,0,0,0,9.52,9.52,0,0,0
having bitches really the waveshaq you got all the hoes,1,1,0,0,0,0,20,10,10,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
niggas wa a good girl but still wanna fuck with hoes but that ai gone work gotta pick one boy stfu,1,1,4.76,0,4.76,0,14.29,0,14.29,0,0,4.76,0,0,9.52,0,23.81,4.76,0,4.76,4.76,0,0,0,0,19.05,14.29,0,0,0,0,0,0,14.29,0,0,9.52,4.76,4.76,0,0,4.76,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,14.29,9.52,0,9.52,0,0,0,0,0,4.76,0,9.52,14.29,14.29,0,0,0
splash onna bitch wednesday tomorrow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,0,0,0,0,0
them damn browniesi swear lmao,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,0,0,0,40,40,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0
mom do call a girl a bitch thats somebodys daughtersisterniece me and somebodys bitch too,1,1,13.33,13.33,0,0,13.33,0,13.33,0,0,0,13.33,0,0,0,13.33,0,0,0,0,0,0,0,0,13.33,40,6.67,0,0,0,0,6.67,33.33,13.33,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0
white kids favorite activities calling people niggers on xbox fucking their pet shooting up their school,0,1,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,0,0,0,0,0,0,0,12.5,25,0,0,0,0,0,0,25,6.25,0,0,0,6.25,0,0,6.25,18.75,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
smh bitches are such haters how dare they do this to her blackgirls jealousy yooo loool,1,1,6.25,0,0,6.25,6.25,0,6.25,6.25,6.25,0,0,0,0,0,31.25,6.25,18.75,6.25,0,6.25,0,6.25,0,6.25,25,12.5,0,0,6.25,6.25,0,18.75,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,6.25,0,6.25,0,0,0,0,0,0,6.25,0,18.75,18.75,0,0,0
throwing lamps at bitches who need to lighten up true dat,1,1,0,0,0,0,18.18,0,18.18,0,0,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,0
using y mx b to measure the slope of that ass girl,1,1,0,0,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0
on my way to fuck ur bitch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,14.29,14.29,0,0,0
on my way to fuck ur bitch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,14.29,14.29,0,0,0
my brother a faggotsmh,1,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d blame niggas when a female see ya hoe ass ways go listen to some jt money fruitcake,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,5.56,0,0,0,0,0,0,16.67,22.22,5.56,0,0,0,5.56,0,16.67,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,5.56,5.56,5.56,5.56,5.56,0,5.56,0,0,0,5.56,5.56,0,0,0
some of yall bios are trash mine pretty good,2,1,0,0,0,0,11.11,0,11.11,0,0,0,11.11,0,0,0,11.11,11.11,0,11.11,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0
